row_index,slippage_pred,fee_pred,impact_pred,net_cost,prob_taker,latency_ms
50,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002436999693600228
51,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0024119999579852447
52,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0021559999368037097
53,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002220000169472769
54,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0021920000108366366
55,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002401000074314652
56,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002267999661853537
57,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0022730000637238845
58,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002202000359829981
59,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0022069998522056267
60,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0024500000108673703
61,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0025780000214581378
62,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002816999767674133
63,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002603000211820472
64,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0025620001906645484
65,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0026819998311111704
66,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0023689999579801224
67,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0023400002646667417
68,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.00249699996857089
69,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002314000084879808
70,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0023630000214325264
71,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0021519999791053124
72,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002084999778162455
73,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002380000296398066
74,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002385999778198311
75,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0030250002964749
76,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002516000222385628
77,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0025170002118102275
78,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002539999968576012
79,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002407000010862248
80,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002246999883936951
81,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0023359998522209935
82,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002345999746466987
83,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002331999894522596
84,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002434000180073781
85,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0024319997464772314
86,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0024480000320181716
87,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0024450000637443736
88,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002550999852246605
89,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0026819998311111704
90,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0023809998310753144
